Date,Open,High,Low,Close,Contract
2/7/2020,467.25,474,466,472.5,Hard Red Winter Wheat
2/9/2020,null,null,null,null,Hard Red Winter Wheat
2/10/2020,472.5,476.5,469,472.5,Hard Red Winter Wheat
2/11/2020,472.25,474,465.5,468.25,Hard Red Winter Wheat
2/12/2020,467,472.75,464.5,471,Hard Red Winter Wheat
2/13/2020,469.75,470.75,462.75,466,Hard Red Winter Wheat
2/14/2020,466.5,471,465,465.5,Hard Red Winter Wheat
2/16/2020,null,null,null,null,Hard Red Winter Wheat
2/18/2020,469,486.75,466.75,485.75,Hard Red Winter Wheat
2/19/2020,485,485,471.75,479.75,Hard Red Winter Wheat
2/20/2020,479.25,481.5,472.25,473.75,Hard Red Winter Wheat
2/21/2020,472.75,480,468,468.5,Hard Red Winter Wheat
2/23/2020,null,null,null,null,Hard Red Winter Wheat
2/24/2020,468,468.25,451.5,452.25,Hard Red Winter Wheat
2/25/2020,455.5,457,448,455,Hard Red Winter Wheat
2/26/2020,455,459.25,451,452.25,Hard Red Winter Wheat
2/27/2020,451,451.5,442,443.25,Hard Red Winter Wheat
2/28/2020,440.25,446,431.75,445.5,Hard Red Winter Wheat
3/1/2020,null,null,null,null,Hard Red Winter Wheat
3/2/2020,445.5,451.5,439.5,451,Hard Red Winter Wheat
3/3/2020,452,452,452,452,Hard Red Winter Wheat
3/4/2020,448.25,449.5,445,446.25,Hard Red Winter Wheat
3/5/2020,445,464.5,439.25,439.25,Hard Red Winter Wheat
3/6/2020,458,458,439.25,439.25,Hard Red Winter Wheat
3/8/2020,null,null,null,null,Hard Red Winter Wheat
3/9/2020,436.5,436.5,436.5,436.5,Hard Red Winter Wheat
3/10/2020,443.25,443.25,443.25,443.25,Hard Red Winter Wheat
3/11/2020,468.75,470.75,434,434,Hard Red Winter Wheat
3/12/2020,462.25,462.25,431.25,431.25,Hard Red Winter Wheat
3/13/2020,431.25,431.25,431.25,431.25,Hard Red Winter Wheat
3/15/2020,null,null,null,null,Hard Red Winter Wheat
3/16/2020,429.25,432,420,423.75,Hard Red Winter Wheat
3/17/2020,422.75,438.75,420.25,432.25,Hard Red Winter Wheat
3/18/2020,433.75,448.5,429,446.5,Hard Red Winter Wheat
3/19/2020,447.5,476.25,447.5,465.5,Hard Red Winter Wheat
3/20/2020,466,477.25,464.75,469,Hard Red Winter Wheat
3/22/2020,null,null,null,null,Hard Red Winter Wheat
3/23/2020,472.25,491.75,468,489.5,Hard Red Winter Wheat
3/24/2020,489,491.5,480.5,490.75,Hard Red Winter Wheat
3/25/2020,490,505.75,486.5,501,Hard Red Winter Wheat
3/26/2020,501,503.5,485,487.25,Hard Red Winter Wheat
3/27/2020,487,505,483,486.75,Hard Red Winter Wheat
3/29/2020,null,null,null,null,Hard Red Winter Wheat
3/30/2020,487.25,494.5,479.75,486.75,Hard Red Winter Wheat
3/31/2020,486.75,497,482.5,493,Hard Red Winter Wheat
4/1/2020,493,496.75,470.75,475,Hard Red Winter Wheat
4/2/2020,475.25,478,460.5,464,Hard Red Winter Wheat
4/3/2020,464,477.75,463.75,472,Hard Red Winter Wheat
4/5/2020,null,null,null,null,Hard Red Winter Wheat
4/6/2020,472.25,485,472.25,475.75,Hard Red Winter Wheat
4/7/2020,474.25,477.5,468.25,473.25,Hard Red Winter Wheat
4/8/2020,474,481,471,478,Hard Red Winter Wheat
4/9/2020,478,493.25,478,492,Hard Red Winter Wheat
4/12/2020,null,null,null,null,Hard Red Winter Wheat
4/13/2020,495.5,502,490.5,494,Hard Red Winter Wheat
4/14/2020,493,496,480,483.75,Hard Red Winter Wheat
4/15/2020,481,483.75,469,479.5,Hard Red Winter Wheat
4/16/2020,478,486.75,469,470,Hard Red Winter Wheat
4/17/2020,470.5,480.5,466.25,478.75,Hard Red Winter Wheat
4/19/2020,null,null,null,null,Hard Red Winter Wheat
4/20/2020,480,507.75,480,495.25,Hard Red Winter Wheat
4/21/2020,498.5,503.25,487.75,496.75,Hard Red Winter Wheat
4/22/2020,497.5,499.75,488.75,490,Hard Red Winter Wheat
4/23/2020,490,495,482.75,485.5,Hard Red Winter Wheat
4/24/2020,486,488,472.25,474.75,Hard Red Winter Wheat
4/26/2020,null,null,null,null,Hard Red Winter Wheat
4/27/2020,475.25,476.25,468.5,470.5,Hard Red Winter Wheat
4/28/2020,473.5,479,469.75,474.5,Hard Red Winter Wheat
4/29/2020,474.5,477.5,463.5,467.75,Hard Red Winter Wheat
4/30/2020,467.75,482.25,461.75,482.25,Hard Red Winter Wheat
5/1/2020,482.5,482.75,478.25,482,Hard Red Winter Wheat
5/3/2020,null,null,null,null,Hard Red Winter Wheat
5/4/2020,477.75,483.75,477.75,483.75,Hard Red Winter Wheat
5/5/2020,479,484,476.75,483,Hard Red Winter Wheat
5/6/2020,476,476.5,476,476.5,Hard Red Winter Wheat
5/7/2020,488,488,477.5,477.5,Hard Red Winter Wheat
5/8/2020,475,504,475,504,Hard Red Winter Wheat
5/10/2020,null,null,null,null,Hard Red Winter Wheat
5/11/2020,504,504,496,496,Hard Red Winter Wheat
5/12/2020,485.25,485.25,483.5,483.5,Hard Red Winter Wheat
5/13/2020,458,458,458,458,Hard Red Winter Wheat
5/14/2020,458,458,458,458,Hard Red Winter Wheat
5/15/2020,451.75,457,450.25,452.25,Hard Red Winter Wheat
5/17/2020,null,null,null,null,Hard Red Winter Wheat
5/18/2020,454.25,455.5,444.5,446.25,Hard Red Winter Wheat
5/19/2020,447.5,449.25,440.25,441.5,Hard Red Winter Wheat
5/20/2020,441.5,454,438.75,453.25,Hard Red Winter Wheat
5/21/2020,454,460.75,449.25,454.5,Hard Red Winter Wheat
5/22/2020,453.5,454.75,443.5,444.5,Hard Red Winter Wheat
5/24/2020,null,null,null,null,Hard Red Winter Wheat
5/26/2020,442,452.25,441,447.25,Hard Red Winter Wheat
5/27/2020,448,454.25,446.25,451.75,Hard Red Winter Wheat
5/28/2020,451.25,468.25,450.5,464,Hard Red Winter Wheat
5/29/2020,464,473,462.75,470.5,Hard Red Winter Wheat
5/31/2020,null,null,null,null,Hard Red Winter Wheat
6/1/2020,469.75,470,457.75,462.5,Hard Red Winter Wheat
6/2/2020,462.5,464,450,450.75,Hard Red Winter Wheat
6/3/2020,452.5,459.75,450.25,457.75,Hard Red Winter Wheat
6/4/2020,457,476.75,457,472.25,Hard Red Winter Wheat
6/5/2020,473.5,476,459.5,461.25,Hard Red Winter Wheat
6/7/2020,null,null,null,null,Hard Red Winter Wheat
6/8/2020,463,466,457.5,460.5,Hard Red Winter Wheat
6/9/2020,460,463.75,453.75,457.75,Hard Red Winter Wheat
6/10/2020,457.75,464.75,455.75,457.5,Hard Red Winter Wheat
6/11/2020,456.75,458.25,445.25,447,Hard Red Winter Wheat
6/12/2020,446.5,453.75,445,448.5,Hard Red Winter Wheat
6/14/2020,null,null,null,null,Hard Red Winter Wheat
6/15/2020,447.25,447.75,442.25,445.75,Hard Red Winter Wheat
6/16/2020,446,449.5,433.5,438.25,Hard Red Winter Wheat
6/17/2020,436.75,436.75,430.75,432.5,Hard Red Winter Wheat
6/18/2020,432,438,428.25,428.5,Hard Red Winter Wheat
6/19/2020,428.5,433,427.75,428.25,Hard Red Winter Wheat
6/21/2020,null,null,null,null,Hard Red Winter Wheat
6/22/2020,428.5,433.25,427.5,431.25,Hard Red Winter Wheat
6/23/2020,431.25,436,426,435,Hard Red Winter Wheat
6/24/2020,435,437.75,430.75,431.25,Hard Red Winter Wheat
6/25/2020,431,433,426.5,429.75,Hard Red Winter Wheat
6/26/2020,429.5,432.25,416.5,421.25,Hard Red Winter Wheat
6/28/2020,null,null,null,null,Hard Red Winter Wheat
6/29/2020,420.25,431,418.25,428.75,Hard Red Winter Wheat
6/30/2020,428.75,444,426.25,435.5,Hard Red Winter Wheat
7/1/2020,435.75,443.25,434,442.5,Hard Red Winter Wheat
7/2/2020,438.5,438.5,425.25,427.25,Hard Red Winter Wheat
7/5/2020,null,null,null,null,Hard Red Winter Wheat
7/6/2020,433,434.25,428.5,432.75,Hard Red Winter Wheat
7/7/2020,436.5,436.5,434,436,Hard Red Winter Wheat
7/8/2020,447.25,453.5,447.25,452,Hard Red Winter Wheat
7/9/2020,455,458.5,452,452,Hard Red Winter Wheat
7/10/2020,452,454.75,447.25,447.25,Hard Red Winter Wheat
7/12/2020,null,null,null,null,Hard Red Winter Wheat
7/13/2020,440.5,440.5,440.5,440.5,Hard Red Winter Wheat
7/14/2020,445.25,445.25,438.25,438.25,Hard Red Winter Wheat
7/15/2020,442,460.25,441,459.5,Hard Red Winter Wheat
7/16/2020,459.5,462.75,445,448.75,Hard Red Winter Wheat
7/17/2020,451.25,454.25,445,448.75,Hard Red Winter Wheat
7/19/2020,null,null,null,null,Hard Red Winter Wheat
7/20/2020,448,450.5,432,435,Hard Red Winter Wheat
7/21/2020,435,444.25,433.75,442.5,Hard Red Winter Wheat
7/22/2020,441.25,452,439.75,448.5,Hard Red Winter Wheat
7/23/2020,448,449.25,441,441.25,Hard Red Winter Wheat
7/24/2020,441.5,455.25,440.25,449.5,Hard Red Winter Wheat
7/26/2020,null,null,null,null,Hard Red Winter Wheat
7/27/2020,448.5,449,438.25,439.5,Hard Red Winter Wheat
7/28/2020,439.5,442.75,433.25,436.75,Hard Red Winter Wheat
7/29/2020,436.75,446.25,436.75,445.75,Hard Red Winter Wheat
7/30/2020,445.5,447,438.25,440,Hard Red Winter Wheat
7/31/2020,440,445.25,439.5,442.5,Hard Red Winter Wheat
8/2/2020,null,null,null,null,Hard Red Winter Wheat
8/3/2020,438.5,439.5,426.25,430.75,Hard Red Winter Wheat
8/4/2020,431.5,431.5,421.75,422.25,Hard Red Winter Wheat
8/5/2020,423,427.5,422.25,426.5,Hard Red Winter Wheat
8/6/2020,426,426.25,414.75,417.25,Hard Red Winter Wheat
8/7/2020,417,420,409.75,415.5,Hard Red Winter Wheat
8/9/2020,null,null,null,null,Hard Red Winter Wheat
8/10/2020,415,417.25,410,414,Hard Red Winter Wheat
8/11/2020,413.25,421.5,413.25,416.75,Hard Red Winter Wheat
8/12/2020,416.25,420,412.5,417.75,Hard Red Winter Wheat
8/13/2020,417.25,427.25,416.25,425,Hard Red Winter Wheat
8/14/2020,423.75,433,422.25,425.25,Hard Red Winter Wheat
8/16/2020,null,null,null,null,Hard Red Winter Wheat
8/17/2020,425.25,439,425.25,437.25,Hard Red Winter Wheat
8/18/2020,436.75,437,426.25,430,Hard Red Winter Wheat
8/19/2020,430,438.75,428.5,437.5,Hard Red Winter Wheat
8/20/2020,436.75,442,431.25,441.5,Hard Red Winter Wheat
8/21/2020,440.25,447,437.25,445.75,Hard Red Winter Wheat
8/23/2020,null,null,null,null,Hard Red Winter Wheat
8/24/2020,445,449.75,432.5,435.25,Hard Red Winter Wheat
8/25/2020,435.25,451.75,435.25,444.25,Hard Red Winter Wheat
8/26/2020,443.75,450.75,437.75,450.25,Hard Red Winter Wheat
8/27/2020,449.25,464.5,448.25,460.75,Hard Red Winter Wheat
8/28/2020,459.75,466,457.75,461.75,Hard Red Winter Wheat
8/30/2020,null,null,null,null,Hard Red Winter Wheat
8/31/2020,463.5,477,461.75,470.5,Hard Red Winter Wheat
9/1/2020,467.75,488.5,467.75,483.5,Hard Red Winter Wheat
9/2/2020,481,481,473.75,476.75,Hard Red Winter Wheat
9/3/2020,478,478.5,475,475,Hard Red Winter Wheat
9/4/2020,480,480,474.5,474.5,Hard Red Winter Wheat
9/6/2020,null,null,null,null,Hard Red Winter Wheat
9/8/2020,475.25,475.25,471.5,471.5,Hard Red Winter Wheat
9/9/2020,476.5,476.5,473.25,473.25,Hard Red Winter Wheat
9/10/2020,484.25,484.25,476.25,476.25,Hard Red Winter Wheat
9/11/2020,477,477,461.25,473.5,Hard Red Winter Wheat
9/13/2020,null,null,null,null,Hard Red Winter Wheat
9/14/2020,477.5,477.5,474.75,474.75,Hard Red Winter Wheat
9/15/2020,474,475.75,463.25,468,Hard Red Winter Wheat
9/16/2020,466.5,475.75,465,475,Hard Red Winter Wheat
9/17/2020,473,490.5,471,487.5,Hard Red Winter Wheat
9/18/2020,488.25,507.5,488,504.25,Hard Red Winter Wheat
9/20/2020,null,null,null,null,Hard Red Winter Wheat
9/21/2020,509,509,483,487.25,Hard Red Winter Wheat
9/22/2020,488.5,500.25,484,491.75,Hard Red Winter Wheat
9/23/2020,492,494.5,483.25,484.25,Hard Red Winter Wheat
9/24/2020,484.5,487.5,477.25,483,Hard Red Winter Wheat
9/25/2020,484.5,486,474.75,475.25,Hard Red Winter Wheat
9/27/2020,null,null,null,null,Hard Red Winter Wheat
9/28/2020,473.75,483.5,469.5,482.75,Hard Red Winter Wheat
9/29/2020,481,484,474.75,476,Hard Red Winter Wheat
9/30/2020,475.75,515.5,475,509.75,Hard Red Winter Wheat
10/1/2020,507,513.25,504.5,506.5,Hard Red Winter Wheat
10/2/2020,506.5,512,497.5,509.5,Hard Red Winter Wheat
10/4/2020,null,null,null,null,Hard Red Winter Wheat
10/5/2020,510.5,527.5,510.25,524.25,Hard Red Winter Wheat
10/6/2020,524.5,542.75,518.5,534.25,Hard Red Winter Wheat
10/7/2020,534.25,552.5,531.25,544.5,Hard Red Winter Wheat
10/8/2020,546.5,552.75,527.5,528.75,Hard Red Winter Wheat
10/9/2020,528.75,542.75,526,535.5,Hard Red Winter Wheat
10/11/2020,null,null,null,null,Hard Red Winter Wheat
10/12/2020,535.5,539.75,526.75,530.5,Hard Red Winter Wheat
10/13/2020,535.25,540.5,527.25,531.25,Hard Red Winter Wheat
10/14/2020,534,539.5,523.5,535.25,Hard Red Winter Wheat
10/15/2020,536.75,559.5,533.75,558,Hard Red Winter Wheat
10/16/2020,557.25,565.25,552,558.75,Hard Red Winter Wheat
10/18/2020,null,null,null,null,Hard Red Winter Wheat
10/21/2019,589,589,582.75,584.75,Hard Red Spring Wheat
10/22/2019,586.25,586.5,586.25,586.5,Hard Red Spring Wheat
10/23/2019,588.5,588.5,586.25,588.5,Hard Red Spring Wheat
10/24/2019,584.75,588,584.75,588,Hard Red Spring Wheat
10/25/2019,584.5,584.75,584.5,584.5,Hard Red Spring Wheat
10/28/2019,577,579.25,575.75,577.25,Hard Red Spring Wheat
10/29/2019,577.5,577.5,572.5,577,Hard Red Spring Wheat
10/30/2019,574.75,578.25,574.75,575.75,Hard Red Spring Wheat
10/31/2019,579.5,579.5,575.75,578,Hard Red Spring Wheat
11/1/2019,580.75,584,580.75,584,Hard Red Spring Wheat
11/4/2019,580.75,581.25,579.25,579.25,Hard Red Spring Wheat
11/5/2019,581,581,580.75,580.75,Hard Red Spring Wheat
11/6/2019,580,580,577.5,577.5,Hard Red Spring Wheat
11/7/2019,574,580,574,574,Hard Red Spring Wheat
11/8/2019,574.25,574.75,573.5,573.5,Hard Red Spring Wheat
11/11/2019,570.5,572.75,570.5,572,Hard Red Spring Wheat
11/12/2019,574,577,574,575.75,Hard Red Spring Wheat
11/13/2019,573.75,574.25,571,571.25,Hard Red Spring Wheat
11/14/2019,571,571,570.5,571,Hard Red Spring Wheat
11/15/2019,570.5,570.5,566.5,566.5,Hard Red Spring Wheat
11/18/2019,565.25,565.25,565.25,565.25,Hard Red Spring Wheat
11/19/2019,564.5,564.75,564.25,564.25,Hard Red Spring Wheat
11/20/2019,563.5,565.5,561.5,561.75,Hard Red Spring Wheat
11/21/2019,561.5,561.5,556,556,Hard Red Spring Wheat
11/22/2019,556.25,556.25,552.75,552.75,Hard Red Spring Wheat
11/25/2019,552.75,557.25,552.75,555.5,Hard Red Spring Wheat
11/26/2019,553.5,558.75,553.5,557.25,Hard Red Spring Wheat
11/27/2019,557.5,558,553.75,553.75,Hard Red Spring Wheat
11/29/2019,554.5,558,554.5,557.25,Hard Red Spring Wheat
12/2/2019,557.25,557.25,552.5,552.5,Hard Red Spring Wheat
12/3/2019,557.25,557.25,555.25,555.25,Hard Red Spring Wheat
12/4/2019,555.75,560,555.75,557,Hard Red Spring Wheat
12/5/2019,559.75,560,554.5,554.5,Hard Red Spring Wheat
12/6/2019,555.5,558,554,554,Hard Red Spring Wheat
12/9/2019,557.75,557.75,556.25,556.25,Hard Red Spring Wheat
12/10/2019,555,559.5,554.25,559.5,Hard Red Spring Wheat
12/11/2019,560.5,560.5,559.25,559.25,Hard Red Spring Wheat
12/12/2019,560,567.25,560,563,Hard Red Spring Wheat
12/13/2019,567,568.75,563,565.5,Hard Red Spring Wheat
12/16/2019,575,580,572.5,573.75,Hard Red Spring Wheat
12/17/2019,574.5,576.5,574.5,576.5,Hard Red Spring Wheat
12/18/2019,573,577.75,573,576,Hard Red Spring Wheat
12/19/2019,579.25,583,578.75,579,Hard Red Spring Wheat
12/20/2019,579,579,571.5,575.25,Hard Red Spring Wheat
12/23/2019,577,577.5,577,577.5,Hard Red Spring Wheat
12/24/2019,580,582.5,580,582.5,Hard Red Spring Wheat
12/26/2019,583,586.25,583,586.25,Hard Red Spring Wheat
12/27/2019,586,590,586,589.5,Hard Red Spring Wheat
12/30/2019,589.75,595,589.75,595,Hard Red Spring Wheat
12/31/2019,594.5,598,594.5,597.25,Hard Red Spring Wheat
1/2/2020,597,600,592.75,594.25,Hard Red Spring Wheat
1/3/2020,593,594.5,584,586.25,Hard Red Spring Wheat
1/6/2020,585.5,588.75,585.5,585.5,Hard Red Spring Wheat
1/7/2020,583,583.5,581,583.5,Hard Red Spring Wheat
1/8/2020,583,586,582.25,584.5,Hard Red Spring Wheat
1/9/2020,586.25,589,584.25,587,Hard Red Spring Wheat
1/10/2020,590,594,586.25,593,Hard Red Spring Wheat
1/13/2020,591.5,591.5,588.75,590.5,Hard Red Spring Wheat
1/14/2020,589.75,593.5,588.5,590.5,Hard Red Spring Wheat
1/15/2020,586.5,596.75,586.5,591,Hard Red Spring Wheat
1/16/2020,590.25,590.25,586.75,586.75,Hard Red Spring Wheat
1/17/2020,589,595,586,594,Hard Red Spring Wheat
1/21/2020,592.5,596,590,595.5,Hard Red Spring Wheat
1/22/2020,595.75,600,589,590.5,Hard Red Spring Wheat
1/23/2020,589.25,594.75,589,590.25,Hard Red Spring Wheat
1/24/2020,590,590,582.75,583.25,Hard Red Spring Wheat
1/27/2020,581.75,585,576.5,584,Hard Red Spring Wheat
1/28/2020,585,585,579.25,579.75,Hard Red Spring Wheat
1/29/2020,576.5,576.5,575,575.25,Hard Red Spring Wheat
1/30/2020,575,576.25,573.25,575.75,Hard Red Spring Wheat
1/31/2020,576.75,577.5,571.5,572.25,Hard Red Spring Wheat
2/3/2020,571,572.5,570,572.5,Hard Red Spring Wheat
2/4/2020,577.25,578,570,570.5,Hard Red Spring Wheat
2/5/2020,573,573.75,570,573.25,Hard Red Spring Wheat
2/6/2020,572.25,573.25,571.25,571.5,Hard Red Spring Wheat
2/7/2020,574.75,575.25,572.75,573.25,Hard Red Spring Wheat
2/10/2020,572.25,572.25,571.25,571.5,Hard Red Spring Wheat
2/11/2020,571.25,572,568.5,570.25,Hard Red Spring Wheat
2/12/2020,568.5,570.25,567.5,569.5,Hard Red Spring Wheat
2/13/2020,566.5,566.5,565,565,Hard Red Spring Wheat
2/14/2020,565.5,567,564.75,565,Hard Red Spring Wheat
2/18/2020,568,578.75,568,577.75,Hard Red Spring Wheat
2/19/2020,572,576.5,570.25,576,Hard Red Spring Wheat
2/20/2020,574,574.25,570.5,570.75,Hard Red Spring Wheat
2/21/2020,575,575,567.5,568.75,Hard Red Spring Wheat
2/24/2020,570,570,560,560.25,Hard Red Spring Wheat
2/25/2020,563,563,560,562.5,Hard Red Spring Wheat
2/26/2020,563,566.25,561,563.25,Hard Red Spring Wheat
2/27/2020,562.25,562.25,556.25,556.5,Hard Red Spring Wheat
2/28/2020,556.25,561.5,550,561,Hard Red Spring Wheat
3/2/2020,560,561.25,554.75,561.25,Hard Red Spring Wheat
3/3/2020,561.75,570.25,561,566.25,Hard Red Spring Wheat
3/4/2020,566.25,567.25,561,562,Hard Red Spring Wheat
3/5/2020,563.25,563.25,554.5,555.25,Hard Red Spring Wheat
3/6/2020,554,559.25,552.25,558,Hard Red Spring Wheat
3/9/2020,553,558.25,549,554.25,Hard Red Spring Wheat
3/10/2020,558,559.25,552,552.75,Hard Red Spring Wheat
3/11/2020,552.75,554.25,546.75,546.75,Hard Red Spring Wheat
3/12/2020,546,548.5,541.25,545.25,Hard Red Spring Wheat
3/13/2020,544.25,550.75,542,543.75,Hard Red Spring Wheat
3/16/2020,543,548.25,540.5,545,Hard Red Spring Wheat
3/17/2020,543.75,552.25,541.75,542.5,Hard Red Spring Wheat
3/18/2020,541.25,547.25,540.25,541,Hard Red Spring Wheat
3/19/2020,542,557,541.25,549,Hard Red Spring Wheat
3/20/2020,550,557.5,550,550.5,Hard Red Spring Wheat
3/23/2020,550,563.5,549.25,557.75,Hard Red Spring Wheat
3/24/2020,555.75,562.25,552.25,561.5,Hard Red Spring Wheat
3/25/2020,560.25,567,560.25,564.25,Hard Red Spring Wheat
3/26/2020,561,564.75,554.75,558.5,Hard Red Spring Wheat
3/27/2020,558.25,569.25,558.25,563.75,Hard Red Spring Wheat
3/30/2020,564.25,568,559.75,563.75,Hard Red Spring Wheat
3/31/2020,563.25,568.5,561.25,567.25,Hard Red Spring Wheat
4/1/2020,565,567.25,552.25,554.25,Hard Red Spring Wheat
4/2/2020,554.25,554.25,546.75,549.75,Hard Red Spring Wheat
4/3/2020,547.25,557,547.25,555.25,Hard Red Spring Wheat
4/6/2020,553.75,561.25,553.75,557,Hard Red Spring Wheat
4/7/2020,555.5,557,553.5,554.5,Hard Red Spring Wheat
4/8/2020,554,560.75,554,559.25,Hard Red Spring Wheat
4/9/2020,557.75,564.75,556.5,564.25,Hard Red Spring Wheat
4/13/2020,564,567,559.25,559.25,Hard Red Spring Wheat
4/14/2020,559.25,559.25,552,554.5,Hard Red Spring Wheat
4/15/2020,554.5,554.5,545.5,548.5,Hard Red Spring Wheat
